Date,House Price Index,Real disposable personal income,Premium for Homeowner's Insurance Producer Index,Personal Saving Rate,New Houses Sold (in 1000s),New Houses for Sale (in 1000s),Monthly supply of new houses,"Expenditures: Maintenance, Repairs, Insurance, Other Expenses for Owned Dwelling",Expenditure: Mortage Interest,Expenditue: Property Tax,Employment Rate,Population(in 1000s),GDP ,Homeownership Rate,Rent Index
2000-01-01,100.551,33119,105.9,5,873,311,4.3,103.75,333.9166667,143.5833333,81.72454122,281083,101.4886034,67.1,180.9
2000-02-01,101.339,33222,106.1,4.5,856,299,4.3,103.75,333.9166667,143.5833333,81.74359932,281299,101.5495202,67.1,181.3
2000-03-01,102.127,33284,106.3,4.3,900,313,4.3,103.75,333.9166667,143.5833333,81.72193076,281531,101.6238214,67.1,181.9
2000-04-01,102.922,33426,106.8,4.8,841,305,4.4,103.75,333.9166667,143.5833333,81.96905421,281763,101.6949226,67.3,182.3
2000-05-01,103.677,33537,107.3,4.8,857,305,4.4,103.75,333.9166667,143.5833333,81.5887072,281996,101.7368661,67.3,182.8
2000-06-01,104.424,33599,107.9,4.8,793,306,4.8,103.75,333.9166667,143.5833333,81.54780064,282247,101.7293857,67.3,183.4
2000-07-01,105.054,33746,108.4,5.1,887,303,4.1,103.75,333.9166667,143.5833333,81.23502572,282504,101.6751049,67.5,184.1
2000-08-01,105.767,33920,108.6,5.2,848,302,4.4,103.75,333.9166667,143.5833333,81.07457472,282769,101.5858955,67.5,184.8
2000-09-01,106.538,33924,108.9,4.5,912,300,4,103.75,333.9166667,143.5833333,81.14041309,283033,101.4727319,67.5,185.4
2000-10-01,107.382,33985,109,4.8,933,301,4,103.75,333.9166667,143.5833333,81.12978604,283285,101.3382884,67.5,186.1
2000-11-01,108.302,33965,109.1,4.7,880,305,4.2,103.75,333.9166667,143.5833333,81.34658097,283523,101.1815224,67.5,186.7
2000-12-01,109.14,34001,109.4,4.4,983,298,3.6,103.75,333.9166667,143.5833333,81.40985697,283748,101.0039095,67.5,187.4
2001-01-01,109.846,34151,110.4,4.9,936,296,3.8,110.5833333,359,154.5833333,81.32867947,283960,100.817354,67.6,188
2001-02-01,110.5,34166,111.3,5,963,296,3.7,110.5833333,359,154.5833333,81.28409878,284166,100.6352395,67.6,188.7
2001-03-01,111.108,34228,111.7,5.3,939,292,3.8,110.5833333,359,154.5833333,81.27033449,284380,100.4644045,67.6,189.5
2001-04-01,111.651,34100,111.6,5.1,909,294,3.9,110.5833333,359,154.5833333,80.92530769,284602,100.2970692,67.8,190.2
2001-05-01,112.163,33988,112.2,4.5,885,295,4,110.5833333,359,154.5833333,80.85301411,284834,100.1210983,67.8,191.1
2001-06-01,112.796,33954,112.5,4.4,882,301,4.2,110.5833333,359,154.5833333,80.59680919,285076,99.93001062,67.8,191.8
2001-07-01,113.491,34420,113,5.6,880,305,4.2,110.5833333,359,154.5833333,80.48258452,285324,99.73358534,67.9,192.5
2001-08-01,114.166,34953,113.3,6.6,866,308,4.4,110.5833333,359,154.5833333,80.20576204,285584,99.54929847,67.9,193.2
2001-09-01,114.811,34622,113.5,7,853,310,4.4,110.5833333,359,154.5833333,80.17819117,285842,99.39437748,67.9,194
2001-10-01,115.308,33984,114.1,3.1,871,308,4.3,110.5833333,359,154.5833333,79.886362,286086,99.27722093,67.9,194.7
2001-11-01,115.855,33995,114.6,3.5,924,308,4.1,110.5833333,359,154.5833333,79.63795821,286315,99.20030246,67.9,195.4
2001-12-01,116.453,34028,114.8,3.8,979,308,3.8,110.5833333,359,154.5833333,79.76783071,286533,99.16038296,67.9,196.2
2002-01-01,117.143,34707,115.3,5.7,880,310,4.2,119.8333333,370.75,155.4166667,79.60338653,286739,99.14585354,67.9,196.8
2002-02-01,117.844,34735,115.6,5.5,948,313,4,119.8333333,370.75,155.4166667,79.84474397,286935,99.14230778,67.9,197.5
2002-03-01,118.687,34734,116.3,5.6,923,316,4.1,119.8333333,370.75,155.4166667,79.65934806,287131,99.13627389,67.9,198.1
2002-04-01,119.611,34827,116.9,5.5,936,324,4.3,119.8333333,370.75,155.4166667,79.51409845,287343,99.11816095,67.8,198.5
2002-05-01,120.724,34941,117,6.2,978,327,4,119.8333333,370.75,155.4166667,79.32681202,287571,99.08131989,67.8,198.9
2002-06-01,121.813,35018,118.2,6.2,957,328,4.2,119.8333333,370.75,155.4166667,79.18232487,287808,99.0219656,67.8,199.5
2002-07-01,122.888,34902,119.5,5.4,956,333,4.2,119.8333333,370.75,155.4166667,79.0459649,288051,98.94042155,67.9,200
2002-08-01,123.831,34882,120.1,5.4,1014,334,4,119.8333333,370.75,155.4166667,79.2972888,288303,98.8398501,67.9,200.3
2002-09-01,124.78,34892,121.2,5.9,1044,333,3.9,119.8333333,370.75,155.4166667,79.33246709,288554,98.72655995,67.9,200.8
2002-10-01,125.734,34964,123.4,5.8,1006,335,4,119.8333333,370.75,155.4166667,79.17199509,288794,98.61165737,68.2,201.3
2002-11-01,126.669,35031,125.1,5.8,1024,338,4,119.8333333,370.75,155.4166667,78.77296289,289012,98.50827691,68.2,201.9
2002-12-01,127.623,35090,125.6,5.4,1048,339,4,119.8333333,370.75,155.4166667,78.99947159,289214,98.4289641,68.2,202.4
2003-01-01,128.461,35015,127.8,5.4,999,341,4,119.6666667,366.4166667,166.5833333,78.98117437,289412,98.38226588,68.1,203.2
2003-02-01,129.355,34867,129.1,5.3,936,341,4.5,119.6666667,366.4166667,166.5833333,78.91886845,289606,98.3751511,68.1,203.5
2003-03-01,130.148,34925,130.7,5,999,338,4.1,119.6666667,366.4166667,166.5833333,79.02058596,289809,98.41304946,68.1,204
